sample	strainID	genus	species	count
H3-d9	HAMBI-3237	Microvirga	lotononidis	4
H4-d13	HAMBI-0006	Pseudomonas	putida	0
H4-d13	HAMBI-0097	Acinetobacter	lwoffii	2
H4-d13	HAMBI-0105	Agrobacterium	tumefaciens	0
H4-d13	HAMBI-0262	Brevundimonas	bullata	0
H4-d13	HAMBI-0403	Comamonas	testosteroni	13
H4-d13	HAMBI-1279	Hafnia	alvei	14
H4-d13	HAMBI-1287	Citrobacter	koseri	1406
H4-d13	HAMBI-1292	Morganella	morganii	13745
H4-d13	HAMBI-1299	Kluyvera	intermedia	10
H4-d13	HAMBI-1842	Sphingobium	yanoikuyae	0
H4-d13	HAMBI-1896	Sphingobacterium	spiritivorum	0
H4-d13	HAMBI-1923	Myroides	odoratus	4
H4-d13	HAMBI-1972	Aeromonas	caviae	17214
H4-d13	HAMBI-1977	Pseudomonas	chlororaphis	21581
H4-d13	HAMBI-1988	Chitinophaga	sancti	0
H4-d13	HAMBI-2159	Paraburkholderia	caryophylli	0
H4-d13	HAMBI-2160	Bordetella	avium	0
H4-d13	HAMBI-2164	Cupriavidus	necator	0
H4-d13	HAMBI-2443	Paracoccus	denitrificans	0
H4-d13	HAMBI-2494	Paraburkholderia	kururiensis	0
H4-d13	HAMBI-2659	Stenotrophomonas	maltophilia	429
H4-d13	HAMBI-2792	Moraxella	canis	0
H4-d13	HAMBI-3031	Niabella	yanshanensis	0
H4-d13	HAMBI-3237	Microvirga	lotononidis	0
H4-d17	HAMBI-0006	Pseudomonas	putida	3
H4-d17	HAMBI-0097	Acinetobacter	lwoffii	0
H4-d17	HAMBI-0105	Agrobacterium	tumefaciens	2
H4-d17	HAMBI-0262	Brevundimonas	bullata	0
H4-d17	HAMBI-0403	Comamonas	testosteroni	5
H4-d17	HAMBI-1279	Hafnia	alvei	2
H4-d17	HAMBI-1287	Citrobacter	koseri	1715
H4-d17	HAMBI-1292	Morganella	morganii	68574
H4-d17	HAMBI-1299	Kluyvera	intermedia	0
H4-d17	HAMBI-1842	Sphingobium	yanoikuyae	0
H4-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0
H4-d17	HAMBI-1923	Myroides	odoratus	6
H4-d17	HAMBI-1972	Aeromonas	caviae	5896
H4-d17	HAMBI-1977	Pseudomonas	chlororaphis	113270
H4-d17	HAMBI-1988	Chitinophaga	sancti	0
H4-d17	HAMBI-2159	Paraburkholderia	caryophylli	0
H4-d17	HAMBI-2160	Bordetella	avium	0
H4-d17	HAMBI-2164	Cupriavidus	necator	0
H4-d17	HAMBI-2443	Paracoccus	denitrificans	0
